eps,min_samples,n_clusters,noise_ratio,largest_cluster
0.1044483123690318,7,892,0.4940714629065855,2311
0.06927819243069987,5,1636,0.5578432943438552,2183
0.23052047930876834,4,1192,0.10579234097099824,7191
0.14115525796672224,3,2610,0.16167280884473642,5383
0.09047267295904607,5,1543,0.44792501201730495,2381
0.1111913248301305,3,3254,0.21831437269668322,4226
0.1658439137883792,7,637,0.31120813972119854,6015
0.08535455658784635,4,2339,0.3946082358596379,2282
0.22132285681847513,5,961,0.14755247556481332,6051
0.20170390596704202,3,2008,0.09451610318859158,5900
0.19389259119018737,3,2072,0.09812129466431661,7153
0.13641860795502075,4,1690,0.23906425252363403,5511
0.17546176814048864,3,2277,0.11800993430539977,5821
0.16681959378254713,6,798,0.2739745233135715,5761
0.17996932031096402,7,626,0.2781204935106553,5791
0.06688886422797782,7,798,0.6904542541259413,2076
0.13316148043412193,4,1737,0.24777679858996957,5089
0.0583228347723785,6,1007,0.6946803396891523,2065
0.1487981638489038,5,1129,0.26572264060246753,5239
0.11597224246655707,3,3086,0.20934145169043422,4160
0.07890483777320939,3,4149,0.3158948886396411,2338
0.07068059354451034,5,1571,0.5556801794584201,2125
0.1675289144355424,5,1089,0.22468354430379747,5677
0.08411859370737723,3,3962,0.2973682102227207,2241
0.23502402367535946,7,576,0.19502082999519307,6457
0.166212227940079,6,831,0.2665838807883352,5706
0.11937396090696742,5,1275,0.34113122896971637,4428
0.16818309829628336,7,656,0.30305640121775357,6013
0.0545607742059395,7,598,0.7704093895209101,1972
0.2417118426482891,7,547,0.18524675532767185,6637
0.14646068738858004,4,1667,0.21997676654382312,4937
0.20654704545005725,7,579,0.2364605031244993,5973
0.06654599998448772,5,1595,0.5792140682582919,2059
0.14733166616763207,6,860,0.30992629386316295,4930
0.1481413988709042,7,671,0.35028440954975165,5192
0.23756529099499657,3,1611,0.06811809004967152,6637
0.16434561047521506,5,1120,0.23405704214068257,5483
0.14469788021139077,3,2622,0.15900897292100624,5348
0.10339513261837872,4,1991,0.3293742989905464,2312
0.11631379946851045,5,1357,0.3446563050793142,4081
0.15413448049430756,7,694,0.3263098862361801,5572
0.13778229206100934,7,760,0.3715350104149976,4427
0.05432241597606609,4,2386,0.5803557122256049,1950
0.21525838483887155,4,1250,0.11997276077551675,7241
0.22923215436795336,5,910,0.13787854510495112,9203
0.07804981779972216,7,916,0.62355792340971,2321
0.1608072287078099,7,654,0.31717673449767664,5482
0.07171514822708872,4,2453,0.466892324947925,2243
0.18444801860796234,3,2187,0.10731453292741548,5811
0.10624675676780167,6,1145,0.4296787373818298,2392
0.18188452693838036,4,1462,0.1608716551834642,6383
0.19539892285737653,3,2013,0.09752042941836245,6607
0.20372949838353144,3,1933,0.09099102707899374,6526
0.07154818919117932,5,1662,0.544864605031245,2309
0.23320236902752162,4,1166,0.1039496875500721,6587
0.09604279817897617,5,1494,0.4219476045505528,2335
0.057482511235235956,4,2480,0.5513138920044864,2087
0.16097049387829668,6,846,0.2805840410190675,5517
0.12418445677248775,6,992,0.37055359717993913,4314
0.21595794862648265,5,949,0.15556401217753565,6547
0.21165029441286037,3,1860,0.08436148053196603,7175
0.11342777856454307,5,1372,0.35611280243550714,3519
0.240579879013949,6,685,0.15936949206857876,7332
0.10818356762802372,4,2000,0.30994632270469474,2587
0.15301142584634292,4,1605,0.20964188431341133,5581
0.10119301811352055,5,1479,0.39905463867969876,2359
0.23720871400979265,4,1201,0.09655904502483577,7544
0.08292156351640363,5,1623,0.4753645249158789,2325
0.0589821238784658,4,2435,0.5437429899054639,2097
0.13701941200060758,4,1683,0.23573946482935426,5187
0.2484751128111674,6,691,0.15107755167441114,7087
0.2283354532509828,5,919,0.1412033327992309,5987
0.19972160389138988,5,986,0.17637397852908188,6564
0.228158498175705,6,726,0.17383031565454254,6517
0.22868932793957264,4,1208,0.10863643646851466,7351
0.1537716720772898,3,2473,0.1474323025156225,5519
0.1131858103661586,7,858,0.45427415478288735,2342
0.2044024864221976,3,1994,0.08816696042300913,5902
0.18233225263355224,5,1071,0.19848581958019548,6486
0.12473154577474202,4,1829,0.2649615446242589,4583
